Datum,Ferien
2013-05-10,1
2013-06-24,1
2013-06-25,1
2013-06-26,1
2013-06-27,1
2013-06-28,1
2013-06-29,1
2013-06-30,1
2013-07-01,1
2013-07-02,1
2013-07-03,1
2013-07-04,1
2013-07-05,1
2013-07-06,1
2013-07-07,1
2013-07-08,1
2013-07-09,1
2013-07-10,1
2013-07-11,1
2013-07-12,1
2013-07-13,1
2013-07-14,1
2013-07-15,1
2013-07-16,1
2013-07-17,1
2013-07-18,1
2013-07-19,1
2013-07-20,1
2013-07-21,1
2013-07-22,1
2013-07-23,1
2013-07-24,1
2013-07-25,1
2013-07-26,1
2013-07-27,1
2013-07-28,1
2013-07-29,1
2013-07-30,1
2013-07-31,1
2013-08-01,1
2013-08-02,1
2013-08-03,1
2013-10-04,1
2013-10-05,1
2013-10-06,1
2013-10-07,1
2013-10-08,1
2013-10-09,1
2013-10-10,1
2013-10-11,1
2013-10-12,1
2013-10-13,1
2013-10-14,1
2013-10-15,1
2013-10-16,1
2013-10-17,1
2013-10-18,1
2013-12-23,1
2013-12-24,1
2013-12-25,1
2013-12-26,1
2013-12-27,1
2013-12-28,1
2013-12-29,1
2013-12-30,1
2013-12-31,1
2014-01-01,1
2014-01-02,1
2014-01-03,1
2014-01-04,1
2014-01-05,1
2014-01-06,1
2014-04-16,1
2014-04-17,1
2014-04-18,1
2014-04-19,1
2014-04-20,1
2014-04-21,1
2014-04-22,1
2014-04-23,1
2014-04-24,1
2014-04-25,1
2014-04-26,1
2014-04-27,1
2014-04-28,1
2014-04-29,1
2014-04-30,1
2014-05-01,1
2014-05-02,1
2014-05-30,1
2014-07-14,1
2014-07-15,1
2014-07-16,1
2014-07-17,1
2014-07-18,1
2014-07-19,1
2014-07-20,1
2014-07-21,1
2014-07-22,1
2014-07-23,1
2014-07-24,1
2014-07-25,1
2014-07-26,1
2014-07-27,1
2014-07-28,1
2014-07-29,1
2014-07-30,1
2014-07-31,1
2014-08-01,1
2014-08-02,1
2014-08-03,1
2014-08-04,1
2014-08-05,1
2014-08-06,1
2014-08-07,1
2014-08-08,1
2014-08-09,1
2014-08-10,1
2014-08-11,1
2014-08-12,1
2014-08-13,1
2014-08-14,1
2014-08-15,1
2014-08-16,1
2014-08-17,1
2014-08-18,1
2014-08-19,1
2014-08-20,1
2014-08-21,1
2014-08-22,1
2014-08-23,1
2014-10-13,1
2014-10-14,1
2014-10-15,1
2014-10-16,1
2014-10-17,1
2014-10-18,1
2014-10-19,1
2014-10-20,1
2014-10-21,1
2014-10-22,1
2014-10-23,1
2014-10-24,1
2014-10-25,1
2014-12-22,1
2014-12-23,1
2014-12-24,1
2014-12-25,1
2014-12-26,1
2014-12-27,1
2014-12-28,1
2014-12-29,1
2014-12-30,1
2014-12-31,1
2015-01-01,1
2015-01-02,1
2015-01-03,1
2015-01-04,1
2015-01-05,1
2015-01-06,1
2015-04-01,1
2015-04-02,1
2015-04-03,1
2015-04-04,1
2015-04-05,1
2015-04-06,1
2015-04-07,1
2015-04-08,1
2015-04-09,1
2015-04-10,1
2015-04-11,1
2015-04-12,1
2015-04-13,1
2015-04-14,1
2015-04-15,1
2015-04-16,1
2015-04-17,1
2015-05-15,1
2015-07-20,1
2015-07-21,1
2015-07-22,1
2015-07-23,1
2015-07-24,1
2015-07-25,1
2015-07-26,1
2015-07-27,1
2015-07-28,1
2015-07-29,1
2015-07-30,1
2015-07-31,1
2015-08-01,1
2015-08-02,1
2015-08-03,1
2015-08-04,1
2015-08-05,1
2015-08-06,1
2015-08-07,1
2015-08-08,1
2015-08-09,1
2015-08-10,1
2015-08-11,1
2015-08-12,1
2015-08-13,1
2015-08-14,1
2015-08-15,1
2015-08-16,1
2015-08-17,1
2015-08-18,1
2015-08-19,1
2015-08-20,1
2015-08-21,1
2015-08-22,1
2015-08-23,1
2015-08-24,1
2015-08-25,1
2015-08-26,1
2015-08-27,1
2015-08-28,1
2015-08-29,1
2015-10-19,1
2015-10-20,1
2015-10-21,1
2015-10-22,1
2015-10-23,1
2015-10-24,1
2015-10-25,1
2015-10-26,1
2015-10-27,1
2015-10-28,1
2015-10-29,1
2015-10-30,1
2015-10-31,1
2015-12-21,1
2015-12-22,1
2015-12-23,1
2015-12-24,1
2015-12-25,1
2015-12-26,1
2015-12-27,1
2015-12-28,1
2015-12-29,1
2015-12-30,1
2015-12-31,1
2016-01-01,1
2016-01-02,1
2016-01-03,1
2016-01-04,1
2016-01-05,1
2016-03-24,1
2016-03-25,1
2016-03-26,1
2016-03-27,1
2016-03-28,1
2016-03-29,1
2016-03-30,1
2016-03-31,1
2016-04-01,1
2016-04-02,1
2016-04-03,1
2016-04-04,1
2016-04-05,1
2016-04-06,1
2016-04-07,1
2016-04-08,1
2016-04-09,1
2016-04-10,1
2016-05-06,1
2016-07-25,1
2016-07-26,1
2016-07-27,1
2016-07-28,1
2016-07-29,1
2016-07-30,1
2016-07-31,1
2016-08-01,1
2016-08-02,1
2016-08-03,1
2016-08-04,1
2016-08-05,1
2016-08-06,1
2016-08-07,1
2016-08-08,1
2016-08-09,1
2016-08-10,1
2016-08-11,1
2016-08-12,1
2016-08-13,1
2016-08-14,1
2016-08-15,1
2016-08-16,1
2016-08-17,1
2016-08-18,1
2016-08-19,1
2016-08-20,1
2016-08-21,1
2016-08-22,1
2016-08-23,1
2016-08-24,1
2016-08-25,1
2016-08-26,1
2016-08-27,1
2016-08-28,1
2016-08-29,1
2016-08-30,1
2016-08-31,1
2016-09-01,1
2016-09-02,1
2016-09-03,1
2016-10-17,1
2016-10-18,1
2016-10-19,1
2016-10-20,1
2016-10-21,1
2016-10-22,1
2016-10-23,1
2016-10-24,1
2016-10-25,1
2016-10-26,1
2016-10-27,1
2016-10-28,1
2016-10-29,1
2016-10-30,1
2016-12-23,1
2016-12-24,1
2016-12-25,1
2016-12-26,1
2016-12-27,1
2016-12-28,1
2016-12-29,1
2016-12-30,1
2016-12-31,1
2017-01-01,1
2017-01-02,1
2017-01-03,1
2017-01-04,1
2017-01-05,1
2017-01-06,1
2017-04-07,1
2017-04-08,1
2017-04-09,1
2017-04-10,1
2017-04-11,1
2017-04-12,1
2017-04-13,1
2017-04-14,1
2017-04-15,1
2017-04-16,1
2017-04-17,1
2017-04-18,1
2017-04-19,1
2017-04-20,1
2017-04-21,1
2017-05-26,1
2017-07-24,1
2017-07-25,1
2017-07-26,1
2017-07-27,1
2017-07-28,1
2017-07-29,1
2017-07-30,1
2017-07-31,1
2017-08-01,1
2017-08-02,1
2017-08-03,1
2017-08-04,1
2017-08-05,1
2017-08-06,1
2017-08-07,1
2017-08-08,1
2017-08-09,1
2017-08-10,1
2017-08-11,1
2017-08-12,1
2017-08-13,1
2017-08-14,1
2017-08-15,1
2017-08-16,1
2017-08-17,1
2017-08-18,1
2017-08-19,1
2017-08-20,1
2017-08-21,1
2017-08-22,1
2017-08-23,1
2017-08-24,1
2017-08-25,1
2017-08-26,1
2017-08-27,1
2017-08-28,1
2017-08-29,1
2017-08-30,1
2017-08-31,1
2017-09-01,1
2017-09-02,1
2017-10-16,1
2017-10-17,1
2017-10-18,1
2017-10-19,1
2017-10-20,1
2017-10-21,1
2017-10-22,1
2017-10-23,1
2017-10-24,1
2017-10-25,1
2017-10-26,1
2017-10-27,1
2017-12-21,1
2017-12-22,1
2017-12-23,1
2017-12-24,1
2017-12-25,1
2017-12-26,1
2017-12-27,1
2017-12-28,1
2017-12-29,1
2017-12-30,1
2017-12-31,1
2018-01-01,1
2018-01-02,1
2018-01-03,1
2018-01-04,1
2018-01-05,1
2018-01-06,1
2018-03-29,1
2018-03-30,1
2018-03-31,1
2018-04-01,1
2018-04-02,1
2018-04-03,1
2018-04-04,1
2018-04-05,1
2018-04-06,1
2018-04-07,1
2018-04-08,1
2018-04-09,1
2018-04-10,1
2018-04-11,1
2018-04-12,1
2018-04-13,1
2018-07-09,1
2018-07-10,1
2018-07-11,1
2018-07-12,1
2018-07-13,1
2018-07-14,1
2018-07-15,1
2018-07-16,1
2018-07-17,1
2018-07-18,1
2018-07-19,1
2018-07-20,1
2018-07-21,1
2018-07-22,1
2018-07-23,1
2018-07-24,1
2018-07-25,1
2018-07-26,1
2018-07-27,1
2018-07-28,1
2018-07-29,1
2018-07-30,1
2018-07-31,1
2018-08-01,1
2018-08-02,1
2018-08-03,1
2018-08-04,1
2018-08-05,1
2018-08-06,1
2018-08-07,1
2018-08-08,1
2018-08-09,1
2018-08-10,1
2018-08-11,1
2018-08-12,1
2018-08-13,1
2018-08-14,1
2018-08-15,1
2018-08-16,1
2018-08-17,1
2018-08-18,1
2018-10-01,1
2018-10-02,1
2018-10-03,1
2018-10-04,1
2018-10-05,1
2018-10-06,1
2018-10-07,1
2018-10-08,1
2018-10-09,1
2018-10-10,1
2018-10-11,1
2018-10-12,1
2018-10-13,1
2018-10-14,1
2018-10-15,1
2018-10-16,1
2018-10-17,1
2018-10-18,1
2018-10-19,1
2018-12-21,1
2018-12-22,1
2018-12-23,1
2018-12-24,1
2018-12-25,1
2018-12-26,1
2018-12-27,1
2018-12-28,1
2018-12-29,1
2018-12-30,1
2018-12-31,1
2019-01-01,1
2019-01-02,1
2019-01-03,1
2019-01-04,1
2019-04-04,1
2019-04-05,1
2019-04-06,1
2019-04-07,1
2019-04-08,1
2019-04-09,1
2019-04-10,1
2019-04-11,1
2019-04-12,1
2019-04-13,1
2019-04-14,1
2019-04-15,1
2019-04-16,1
2019-04-17,1
2019-04-18,1
2019-05-31,1
2019-07-01,1
2019-07-02,1
2019-07-03,1
2019-07-04,1
2019-07-05,1
2019-07-06,1
2019-07-07,1
2019-07-08,1
2019-07-09,1
2019-07-10,1
2019-07-11,1
2019-07-12,1
2019-07-13,1
2019-07-14,1
2019-07-15,1
2019-07-16,1
2019-07-17,1
2019-07-18,1
2019-07-19,1
2019-07-20,1
2019-07-21,1
2019-07-22,1
2019-07-23,1
2019-07-24,1
2019-07-25,1
2019-07-26,1
2019-07-27,1
2019-07-28,1
2019-07-29,1
2019-07-30,1
2019-07-31,1
